strike,expiry,moneyness,time_to_expiry,bid,ask,impliedVolatility,openInterest,volume,option_type
7390.0,2026-07-08,0.9848277755852546,-0.0027397260273972603,73.4,74.0,1.0000000000000003e-05,49.0,24.0,call
7395.0,2026-07-08,0.9854941001966113,-0.0027397260273972603,68.8,69.2,1.0000000000000003e-05,55.0,39.0,call
7400.0,2026-07-08,0.9861604248079681,-0.0027397260273972603,64.4,64.8,1.0000000000000003e-05,273.0,211.0,call
7405.0,2026-07-08,0.9868267494193248,-0.0027397260273972603,60.4,60.8,1.0000000000000003e-05,129.0,200.0,call
7410.0,2026-07-08,0.9874930740306815,-0.0027397260273972603,55.7,56.1,1.0000000000000003e-05,77.0,180.0,call
7415.0,2026-07-08,0.9881593986420383,-0.0027397260273972603,51.7,52.2,1.0000000000000003e-05,46.0,100.0,call
7420.0,2026-07-08,0.988825723253395,-0.0027397260273972603,48.3,48.6,1.0000000000000003e-05,115.0,236.0,call
7425.0,2026-07-08,0.9894920478647518,-0.0027397260273972603,43.5,43.9,1.0000000000000003e-05,225.0,624.0,call
7430.0,2026-07-08,0.9901583724761085,-0.0027397260273972603,39.6,39.9,1.0000000000000003e-05,77.0,474.0,call
7435.0,2026-07-08,0.9908246970874652,-0.0027397260273972603,36.5,36.8,1.0000000000000003e-05,123.0,564.0,call
7440.0,2026-07-08,0.991491021698822,-0.0027397260273972603,32.8,33.1,1.0000000000000003e-05,106.0,858.0,call
7445.0,2026-07-08,0.9921573463101787,-0.0027397260273972603,29.4,29.6,1.0000000000000003e-05,128.0,653.0,call
7450.0,2026-07-08,0.9928236709215355,-0.0027397260273972603,25.6,25.8,1.0000000000000003e-05,596.0,1917.0,call
7455.0,2026-07-08,0.9934899955328921,-0.0027397260273972603,23.0,23.2,1.0000000000000003e-05,169.0,881.0,call
7460.0,2026-07-08,0.9941563201442488,-0.0027397260273972603,19.7,19.9,1.0000000000000003e-05,153.0,1373.0,call
7465.0,2026-07-08,0.9948226447556056,-0.0027397260273972603,16.9,17.1,1.0000000000000003e-05,273.0,954.0,call
7470.0,2026-07-08,0.9954889693669623,-0.0027397260273972603,15.0,15.2,1.0000000000000003e-05,485.0,1852.0,call
7475.0,2026-07-08,0.996155293978319,-0.0027397260273972603,12.4,12.5,1.0000000000000003e-05,778.0,1703.0,call
7480.0,2026-07-08,0.9968216185896758,-0.0027397260273972603,10.3,10.5,1.0000000000000003e-05,319.0,2350.0,call
7485.0,2026-07-08,0.9974879432010325,-0.0027397260273972603,8.7,8.9,1.0000000000000003e-05,428.0,1678.0,call
7490.0,2026-07-08,0.9981542678123893,-0.0027397260273972603,7.1,7.2,1.0000000000000003e-05,835.0,2445.0,call
7495.0,2026-07-08,0.998820592423746,-0.0027397260273972603,6.0,6.2,1.0000000000000003e-05,945.0,2333.0,call
7500.0,2026-07-08,0.9994869170351027,-0.0027397260273972603,4.8,5.0,0.016840276031494145,3546.0,9782.0,call
7505.0,2026-07-08,1.0001532416464596,-0.0027397260273972603,3.9,4.0,0.02904718521118164,771.0,6173.0,call
7510.0,2026-07-08,1.0008195662578163,-0.0027397260273972603,3.1,3.2,0.036737537994384756,979.0,4562.0,call
7515.0,2026-07-08,1.001485890869173,-0.0027397260273972603,2.45,2.55,0.04271892349243164,688.0,3708.0,call
7520.0,2026-07-08,1.0021522154805298,-0.0027397260273972603,1.95,2.0,0.047494876708984377,1113.0,5552.0,call
7525.0,2026-07-08,1.0028185400918865,-0.0027397260273972603,1.5,1.55,0.05149263946533203,3332.0,4977.0,call
7530.0,2026-07-08,1.003484864703243,-0.0027397260273972603,1.2,1.25,0.05573454040527344,1656.0,4470.0,call
7535.0,2026-07-08,1.0041511893145998,-0.0027397260273972603,0.9,1.0,0.05948816497802734,1463.0,3153.0,call
7540.0,2026-07-08,1.0048175139259565,-0.0027397260273972603,0.7,0.8,0.0629976513671875,2462.0,4660.0,call
7545.0,2026-07-08,1.0054838385373133,-0.0027397260273972603,0.55,0.65,0.06647662048339845,1691.0,2746.0,call
7550.0,2026-07-08,1.00615016314867,-0.0027397260273972603,0.45,0.5,0.06897903686523438,4699.0,4325.0,call
7555.0,2026-07-08,1.0068164877600267,-0.0027397260273972603,0.35,0.4,0.07190869506835937,1333.0,2050.0,call
7560.0,2026-07-08,1.0074828123713835,-0.0027397260273972603,0.25,0.35,0.07581490600585938,2169.0,1484.0,call
7565.0,2026-07-08,1.0081491369827402,-0.0027397260273972603,0.2,0.25,0.07703559692382814,1559.0,960.0,call
7570.0,2026-07-08,1.008815461594097,-0.0027397260273972603,0.2,0.25,0.0823456024169922,2193.0,583.0,call
7575.0,2026-07-08,1.0094817862054537,-0.0027397260273972603,0.15,0.2,0.08472594970703126,3190.0,426.0,call
7580.0,2026-07-08,1.0101481108168104,-0.0027397260273972603,0.1,0.15,0.08619077880859377,3375.0,503.0,call
7585.0,2026-07-08,1.0108144354281672,-0.0027397260273972603,0.1,0.15,0.09107354248046876,1843.0,336.0,call
